Number,Name,HCM Cut (m s^-1),Number of Members,Notes
6,Hebe,80,112,"compact, depleted, S-type"
40,Harmonia,70,160,"extended, 40 is offset, S-type"
67,Asia,40,569,"diffuse, S-type"
115,Thyra,30,56,"compact, S-type"
126,Velleda,70,308,"extended, close to 1394, S-type"
135,Hertha,20,1473,"in Nysa, big, Dykhuis & Greenberg (2015)"
345,Tercidina,80,429,"diffuse, extended in a, S-type"
1156,Kira,70,33,"small, S-type"
1217,Maximiliana,20,28,"small, convergent"
1394,Algoa,50,27,"small, close to 126, S-type"
1598,Paloque,40,117,"compact, big bodies, C-type"
1663,van der Bos,30,285,"in Flora, diffuse"
1963,Bezovec,65,354,"in Phocaea, diffuse, offset"
2110,Moore-Sitterly,10,17,"compact, convergent, S-type"
2328,Robeson,20,223,"compact, C-type"
2653,Principia,50,131,"near Vesta, compact, S-type"
2728,Yatskiv,30,48,"in Polana, compact, C-type"
2823,van der Laan,60,136,"near Sulamitis, offset, S-type"
2961,Katsurahama,25,142,"in Flora, small"
3452,Hawke,100,116,"diffuse, depleted, 317?, C-type"
6065,Chesneau,60,351,"in Phocaea, diffuse, 587?"
6084,Bascom,10,10,"in Phocaea, very small, convergent"
6142,Tantawi,30,114,"in Polana, compact, Novakovic & Radovic (2019)"
8272,Iitatemura,40,41,"compact, S-type"
18429,1994 AO1,20,38,"compact, Novakovic & Radovic (2019)"
41331,1999 XB232,20,23,"in Phocaea, very small"
61203,Chleborad,20,20,"in Vesta, close to 3:1, compact"
70208,1999RX33,20,16,"in Phocaea, very small, convergent"
118564,2000 FO47,20,84,"in Nysa, compact, S-type"
484743,2008 YL101,30,16,compact
cdots,2012 PM61,15,35,"in Vesta, compact, only small bodies"
28,Bellona,30,958,numerous small bodies
45,Eugenia,35,246,"two satellites, small bodies, diffuse, C-type"
177,Irma,60,413,"diffuse, K-type?"
194,Prokne,50,176,"194 is offset, Novakovic et al. (2011)"
237,Coelestina,40,104,"small, S-type"
240,Vanadis,60,17,"near Misa, small, C-type, needs confirmation"
342,Endymion,20,33,"very small, close to Konig, C-type"
351,Irsa,20,242,"small bodies, S-type"
389,Industria,50,464,"big, S-type, offset"
446,Aeternitas,40,447,"big, compact"
539,Pamina,37,81,"diffuse, 539 is offset, C-type"
593,Titania,40,297,"small, C-type"
660,Crescentia,20,805,"in Maria, big"
727,Nipponia,20,510,"near Maria, compact, C-type"
801,Helwerthia,40,175,"big bodies, compact, C-type"
1048,Fedosia,40,125,"compact, C-type"
1127,Mimi,60,82,"small, 1127 is offset, C-type"
1160,Illyria,30,692,"in Maria, diffuse"
1347,Patria,50,132,"compact, 1347 is offset, C-type"
2079,Jacchia,35,125,"in Eunomia, diffuse"
2927,Alamosa,20,14,very small
3324,Avsyuk,30,222,"offset, S-type"
3497,Innanen,50,261,"small, C-type"
3567,Alvema,55,260,"extended, big bodies, C-type"
5798,Burnett,58,81,"extended, diffuse, S-type"
7233,Majella,10,17,very small
7403,Choustnik,30,57,"small, 7403 is offset, C-type"
8223,Bradshaw,20,48,"very small, C-type"
9332,1990SB1,10,8,"in Eunomia, compact, convergent"
10164,Akusekijima,10,18,"compact, convergent"
11014,Svatopluk,50,159,"extended, small bodies, C-type"
12586,Shukla,20,25,"very small, S-type"
15104,2000 BV3,30,78,"small, C-type"
16472,1990 OE5,7,58,"in Dora, compact, C-type"
16940,1998 GC3,20,40,"in Eunomia, diffuse"
21591,1998 TA6,15,47,"in Eunomia, compact"
22766,1999 AE7,10,5,"compact, needs confirmation"
26170,Kazuhiko,10,9,"compact, S-type"
30718,Records,40,95,"diagonal, C-type"
32983,1996 WU2,20,50,"in Eunomia, small"
42357,2002 CS52,40,216,"compact, S-type"
49362,1998 WW16,30,68,"49362 is offset, S-type"
53209,1999 CQ75,20,189,"small, C-type"
54934,2001 OH105,50,37,small bodies
190237,2007 DM10,50,41,small
249576,1995 FH2,30,78,"diffuse, C-type"
435544,2008 OV23,20,90,"in Eunomia, compact, small bodies"
...,2006 QX49,20,11,compact
174,Phaedra,60,170,"diffuse, S-type"
321,Florentina,10,209,"Koronis_4 in Broz et al. (2024), HCM cut"
392,Wilhelmina,40,45,"compact, C-type"
924,Toni,50,50,"compact, C-type"
1289,Kutaisii,10,371,"Koronis_3 in Broz et al. (2024)"
3787,Aivazovskij,15,12,"in Itha, compact"
4471,Graculus,50,136,"small, S-type"
